Link , outLinkSimilarity , inLinkSimilarity , lexicalSimilarity , numOutLinks , numInLinks , length , Category-similarity , Class
/wiki/Old_World_monkey , 0.0679611650485 , 0.0618955512573 , 0.0845528455285 , 46 , 721 , 3885 , 0 , Ca
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Primate , 0.0666666666667 , 0.0563646170442 , 0.10632183908 , 405 , 2433 , 37309 , 0 , Ca
/wiki/Prosimian , 0.0103092783505 , 0.0681063122924 , 0.0437375745527 , 27 , 209 , 1527 , 0 , Ca
/wiki/Ape , 0.0372670807453 , 0.100149476831 , 0.106194690265 , 106 , 1298 , 11130 , 0 , Ca
/wiki/Simian , 0.0666666666667 , 0.0676730869339 , 0.064182194617 , 24 , 339 , 1042 , 0 , Ca
/wiki/Order_(biology)#Hierarchy_of_ranks , 0.0 , 0.0 , 0.0387858347386 , 40 , 49 , 3119 , 0 , El
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Old_World_monkey , 0.0679611650485 , 0.0618955512573 , 0.0845528455285 , 46 , 721 , 3885 , 0 , Ca
/wiki/Catarrhini , 0.0769230769231 , 0.0599559955996 , 0.0692883895131 , 26 , 205 , 2117 , 0 , El
/wiki/Paraphyly , 0.0105263157895 , 0.00314836678473 , 0.0590339892665 , 27 , 847 , 2724 , 0 , El
/wiki/Oxford_English_Dictionary , 0.00564971751412 , 0.00153475115106 , 0.0585526315789 , 118 , 2893 , 28756 , 0 , Sp
/wiki/German_language , 0.00770712909441 , 0.000693577472604 , 0.0640683395622 , 536 , 5504 , 44319 , 0 , Sp
/wiki/Reynard , 0.00689655172414 , 0.00109950522265 , 0.0547445255474 , 78 , 96 , 7791 , 0 , Sp
/wiki/Italian_language , 0.0141342756184 , 0.000866300895178 , 0.074939564867 , 276 , 5228 , 22037 , 0 , Sp
/wiki/Taxon , 0.0 , 0.00165508109897 , 0.0612244897959 , 25 , 1339 , 3123 , 0 , Sp
/wiki/Paraphyly , 0.0105263157895 , 0.00314836678473 , 0.0590339892665 , 27 , 847 , 2724 , 0 , Ca
/wiki/Fish , 0.00449438202247 , 0.0167046317388 , 0.0700455580866 , 434 , 4976 , 32981 , 0 , Sp
/wiki/New_World_monkey , 0.10101010101 , 0.0717073170732 , 0.0932203389831 , 46 , 519 , 3694 , 0 , Ca
/wiki/Catarrhini , 0.0769230769231 , 0.0599559955996 , 0.0692883895131 , 26 , 205 , 2117 , 0 , Ca
/wiki/Ape , 0.0372670807453 , 0.100149476831 , 0.106194690265 , 106 , 1298 , 11130 , 0 , Ca
/wiki/Mandrill , 0.0204081632653 , 0.0175967823027 , 0.0681114551084 , 28 , 302 , 4323 , 0 , Ca
/wiki/Barbary_Macaque , 0.0588235294118 , 0.0145379023884 , 0.0560131795717 , 38 , 263 , 3142 , 0 , Ca
/wiki/Pygmy_Marmoset , 0.0232558139535 , 0.0139709833423 , 0.0501858736059 , 15 , 171 , 1761 , 0 , Ca
/wiki/Mandrill , 0.0204081632653 , 0.0175967823027 , 0.0681114551084 , 28 , 302 , 4323 , 0 , Ca
/wiki/Arboreal_locomotion , 0.0178571428571 , 0.0192897851819 , 0.0600226500566 , 45 , 611 , 10855 , 0 , El
/wiki/Savanna , 0.0 , 0.00975156721616 , 0.0630816959669 , 62 , 2647 , 12276 , 0 , El
/wiki/Prehensile_tail , 0.0 , 0.0117056856187 , 0.0480769230769 , 19 , 90 , 1925 , 0 , El
/wiki/Trichromacy , 0.037037037037 , 0.00439077936334 , 0.0724637681159 , 77 , 116 , 4439 , 0 , Pr
/wiki/Color_vision , 0.017316017316 , 0.00292825768668 , 0.0718232044199 , 193 , 338 , 25691 , 0 , Pr
/wiki/Dichromacy , 0.0247933884298 , 0.00203045685279 , 0.0437158469945 , 77 , 254 , 2093 , 0 , Pr
/wiki/Monochromacy , 0.0161290322581 , 0.00205023065095 , 0.0559322033898 , 80 , 232 , 3199 , 0 , Pr
/wiki/Simian , 0.0666666666667 , 0.0676730869339 , 0.064182194617 , 24 , 339 , 1042 , 0 , Ca
/wiki/Pet_monkey , 0.132075471698 , 0.00344827586207 , 0.14858096828 , 48 , 25 , 4091 , 0 , El
/wiki/Model_organism , 0.00862068965517 , 0.00325430032543 , 0.0507936507937 , 50 , 440 , 3672 , 0 , Sp
/wiki/Monkey_drive , 0.0 , 0.0 , 0.034693877551 , 13 , 6 , 886 , 1 , Sp
/wiki/Service_animal , 0.0126582278481 , 0.00170842824601 , 0.0909090909091 , 8 , 35 , 1715 , 0 , Pr
/wiki/Pest_(organism) , 0.00847457627119 , 0.0012589173311 , 0.0454545454545 , 50 , 664 , 2302 , 0 , Pr
/wiki/Capuchin_monkey , 0.0413223140496 , 0.0230887634684 , 0.119420989144 , 58 , 299 , 8411 , 0 , Ca
/wiki/Monkey_helper , 0.0126582278481 , 0.00173110213503 , 0.0909090909091 , 8 , 11 , 1715 , 0 , Sp
/wiki/Macaque , 0.0786516853933 , 0.0378273520854 , 0.0560747663551 , 24 , 423 , 1782 , 0 , Ca
/wiki/Rhesus_Macaque , 0.0289855072464 , 0.0271946564885 , 0.0926315789474 , 77 , 436 , 11478 , 0 , Ca
/wiki/Green_Monkey , 0.0112359550562 , 0.0103542234332 , 0.031067961165 , 17 , 130 , 1362 , 0 , Ca
/wiki/Animal_testing_on_non-human_primates , 0.025 , 0.00292540224281 , 0.0756192959583 , 137 , 340 , 29196 , 0 , Pr
/wiki/Animal_testing , 0.0159744408946 , 0.00433302383163 , 0.0721649484536 , 270 , 1552 , 47583 , 0 , Pr
/wiki/Human , 0.00865051903114 , 0.0261233019854 , 0.070206230803 , 579 , 6445 , 53848 , 0 , Ca
/wiki/United_States , 0.00109769484083 , 0.000845104430762 , 0.0480984340045 , 913 , 6763 , 65685 , 0 , Sp
/wiki/Primate , 0.0666666666667 , 0.0563646170442 , 0.10632183908 , 405 , 2433 , 37309 , 0 , Ca
/wiki/European_Union , 0.0046875 , 0.00147080453008 , 0.0552259242355 , 679 , 5273 , 57372 , 0 , Sp
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Animal_rights , 0.00442477876106 , 0.00374812593703 , 0.0629464285714 , 182 , 2321 , 54584 , 0 , Pr
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Animal_rights , 0.00442477876106 , 0.00374812593703 , 0.0629464285714 , 182 , 2321 , 54584 , 0 , Pr
/wiki/Animal_welfare , 0.0232558139535 , 0.00595491280306 , 0.0731244064577 , 62 , 646 , 14397 , 0 , Pr
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Monkeys_in_space , 0.024 , 0.0032414910859 , 0.0562962962963 , 61 , 137 , 6539 , 1 , El
/wiki/V-2 , 0.0141509433962 , 0.00115118956255 , 0.0543689320388 , 178 , 934 , 25738 , 0 , Pr
/wiki/Monkey_brain_(cuisine) , 0.0 , 0.000576036866359 , 0.0525362318841 , 17 , 12 , 1833 , 1 , El
/wiki/Islamic_dietary_laws , 0.0176991150442 , 0.00187705302675 , 0.0642317380353 , 49 , 420 , 7675 , 0 , Sp
/wiki/Haraam , 0.0 , 0.000510204081633 , 0.0385964912281 , 19 , 237 , 2207 , 0 , Sp
/wiki/Bushmeat , 0.0333333333333 , 0.00951374207188 , 0.078914919852 , 53 , 187 , 7638 , 0 , El
/wiki/Sun_Wukong , 0.0258064516129 , 0.00600300150075 , 0.069033530572 , 104 , 293 , 13282 , 0 , Pr
/wiki/Chinese_mythology , 0.00769230769231 , 0.00172637030643 , 0.0571761960327 , 74 , 599 , 9341 , 0 , Pr
/wiki/Journey_to_the_West , 0.0185185185185 , 0.00409090909091 , 0.0740157480315 , 118 , 487 , 19431 , 0 , Pr
/wiki/Television_program , 0.00595238095238 , 0.00222428174235 , 0.0712909441233 , 114 , 3776 , 17369 , 0 , Pr
/wiki/Monkey_(TV_series) , 0.0357142857143 , 0.00164654226125 , 0.0653008962868 , 49 , 107 , 7613 , 0 , Pr
/wiki/Monsieur_Eek , 0.0 , 0.000575705238918 , 0.0166666666667 , 9 , 13 , 494 , 0 , Pr
/wiki/Curious_George , 0.00826446280992 , 0.00521648408972 , 0.0670241286863 , 52 , 203 , 7764 , 0 , Pr
/wiki/Terry_Pratchett , 0.00947867298578 , 0.0013025073266 , 0.0643729189789 , 431 , 1356 , 38401 , 0 , Pr
/wiki/Discworld , 0.009375 , 0.0022639068564 , 0.0694345025054 , 340 , 1552 , 23823 , 0 , Pr
/wiki/Librarian_(Discworld) , 0.0110701107011 , 0.000572409845449 , 0.0550621669627 , 264 , 23 , 30633 , 0 , Pr
/wiki/Unseen_University , 0.0110701107011 , 0.00201612903226 , 0.0550621669627 , 264 , 404 , 30633 , 0 , Pr
/wiki/Orangutan , 0.0114942528736 , 0.0293470286134 , 0.0713632204941 , 111 , 1102 , 16258 , 0 , Ca
/wiki/Winged_monkeys , 0.00961538461538 , 0.000987166831194 , 0.0547337278107 , 34 , 314 , 4972 , 0 , Ca
/wiki/List_of_Oz_books , 0.0 , 0.00140778977006 , 0.0578947368421 , 52 , 485 , 6930 , 0 , Pr
/wiki/Hanuman , 0.00934579439252 , 0.00567502986858 , 0.0471641791045 , 195 , 1662 , 32902 , 0 , Pr
/wiki/Hinduism , 0.00756143667297 , 0.00334946036472 , 0.0597530864198 , 617 , 3691 , 42226 , 0 , Pr
/wiki/Buddhism , 0.00468018720749 , 0.00259304453935 , 0.0520210896309 , 833 , 5077 , 82402 , 0 , Pr
/wiki/Buddhism_in_China , 0.0 , 0.0 , 0.00218818380744 , 3 , 1364 , 46 , 0 , Pr
/wiki/Mind_monkey , 0.0138248847926 , 0.0 , 0.0571073867163 , 388 , 19 , 27735 , 0 , Pr
/wiki/Three_wise_monkeys , 0.00961538461538 , 0.00222098833981 , 0.0580110497238 , 36 , 83 , 6212 , 1 , Pr
/wiki/Moche , 0.0 , 0.000975609756098 , 0.058886509636 , 55 , 332 , 9333 , 0 , Pr
/wiki/Monkey_(zodiac) , 0.025974025974 , 0.000468823253633 , 0.0279569892473 , 6 , 409 , 363 , 0 , Pr
/wiki/Chinese_zodiac , 0.0162601626016 , 0.00300902708124 , 0.0797227036395 , 60 , 295 , 20192 , 0 , Pr
/wiki/Chinese_calendar , 0.0147058823529 , 0.000596125186289 , 0.0752110514198 , 188 , 4993 , 34413 , 0 , Pr 
